Host.genus	Virus	KB	contig_length	checkv_quality	provirus	gene_count	viral_genes	completeness	contamination	warnings	AAI.to.closest.RaFAH.reference	Confidence.score	List.of.methods
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__	Brothers_UC_S010_vRhyme_bin_4	199563	249063	High-quality	No	312	44	95.83	0		6.46	91.6	blast;93.90 iPHoP-RF;71.30
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__	ELSC_Tui_Malila_T2_vRhyme_bin_1	64085	74585	High-quality	No	67	22	100	0		17.26	92.3	blast;94.50 iPHoP-RF;70.20
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	Brothers_NWCA_S144_vRhyme_bin_55	9774	11274	Low-quality	Yes	15	5	17.87	6		34.72	91.5	blast;93.80 iPHoP-RF;75.40
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	Brothers_NWCA_S144_vRhyme_bin_69	8532	10032	Low-quality	No	12	3	17.08	0		34.47	90.8	blast;93.20 iPHoP-RF;61.90
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	Brothers_NWCB_S012_vRhyme_bin_41	52406	58406	High-quality	No	55	13	99.44	0		45.41	90.3	blast;92.80 iPHoP-RF;80.30
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	Brothers_NWCB_S012_vRhyme_bin_42	81977	93977	High-quality	No	118	37	100	0	contig >1.5x longer than expected genome length	61.74	91.6	blast;93.90
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	Brothers_NWCB_S012_vRhyme_bin_44	205187	236687	High-quality	No	285	106	100	0	contig >1.5x longer than expected genome length	49.23	90.6	blast;93.00
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	Brothers_NWCB_S012_vRhyme_bin_70	68722	85222	High-quality	No	100	47	98.03	0		37.9	90.3	blast;92.80
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	Brothers_NWCB_S139_vRhyme_bin_80	14082	17082	Low-quality	No	18	7	28.92	0		43.47	90.9	blast;93.30
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	ELSC_Abe_128-326_vRhyme_bin_34	14600	20600	Low-quality	No	18	3	15.25	0		19.91	91	blast;93.40
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	ELSC_Abe_A3_vRhyme_bin_137	13531	16531	Low-quality	No	15	5	35.72	0		46.24	90.8	blast;93.20 iPHoP-RF;50.40
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	ELSC_Abe_A3_vRhyme_bin_198	12962	14462	Low-quality	No	20	13	31.72	0		61.33	90.1	blast;92.60 iPHoP-RF;62.50
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	ELSC_Bowl_M2_vRhyme_bin_225	15222	16722	Low-quality	No	24	5	28.31	0		42.8	91.1	blast;93.50 iPHoP-RF;84.20
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	ELSC_Bowl_M2_vRhyme_bin_262	19095	22095	Low-quality	No	20	10	37.99	0		41.64	91.4	blast;93.70 iPHoP-RF;74.80
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	ELSC_Bowl_M2_vRhyme_bin_290	9743	12743	Low-quality	No	16	9	21.7	0		50.74	91.4	blast;93.70 iPHoP-RF;59.80
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	ELSC_Bowl_M2_vRhyme_bin_303	7821	10821	Low-quality	No	10	5	18.42	0		26.55	90.4	blast;92.90 iPHoP-RF;66.30
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	ELSC_Mariner_M17_vRhyme_bin_269	11698	13198	Low-quality	No	14	6	28.8	0		32.01	91.1	blast;93.50
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Lucky_356-284_vRhyme_bin_61	8665	11665	Low-quality	No	11	1	19.6	0		28.2	91.6	blast;93.90 iPHoP-RF;50.40
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Lucky_356-284_vRhyme_bin_76	9292	10792	Low-quality	No	10	4	21.45	0		24	92.5	blast;94.60 iPHoP-RF;82.50
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Lucky_356-308_vRhyme_bin_19	41942	47942	Medium-quality	No	58	17	81.17	0		33.4	91.4	blast;93.70
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_354-166_vRhyme_bin_11	38389	41389	Medium-quality	No	41	14	72.25	0		5.16	94.7	blast;96.30 iPHoP-RF;79.30
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_354-166_vRhyme_bin_13	71371	87871	High-quality	No	96	30	100	0		65.41	90.1	blast;92.60 iPHoP-RF;64.00
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_354-166_vRhyme_bin_145	49486	53986	Low-quality	No	66	1	26.98	0		6.56	90.4	blast;92.90
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_354-166_vRhyme_bin_15	12960	17460	Low-quality	No	16	8	29.55	0		34.32	91.4	blast;93.70
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_354-166_vRhyme_bin_159	7085	8585	Low-quality	No	14	2	16.1	0		14.47	91.4	blast;93.70 iPHoP-RF;70.60
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_354-166_vRhyme_bin_16	15874	18874	Low-quality	No	24	8	32.13	0		47.38	91.2	blast;93.60 iPHoP-RF;78.70
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_354-166_vRhyme_bin_176	16021	17521	Low-quality	No	21	3	29.83	0		30.98	91.5	blast;93.80 iPHoP-RF;66.00
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_354-166_vRhyme_bin_179	9958	12958	Low-quality	No	14	5	10.19	0		33.72	91.7	blast;94.00 iPHoP-RF;92.80
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_354-166_vRhyme_bin_23	48703	57703	Medium-quality	No	64	17	80.74	0		24.64	91.2	blast;93.60 iPHoP-RF;63.80
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_354-166_vRhyme_bin_74	27220	28720	Low-quality	No	29	10	48.9	0		35.41	93.6	blast;95.50 iPHoP-RF;75.90
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_354-166_vRhyme_bin_79	26044	27544	Low-quality	Yes	31	10	45.48	3.02		48.46	90.6	blast;93.00 iPHoP-RF;84.50
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_354-166_vRhyme_bin_92	11108	14108	Low-quality	No	15	12	35.79	0		37.42	90.3	blast;92.80 iPHoP-RF;66.50
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_355-202_vRhyme_bin_38	23130	29130	Low-quality	No	30	6	49.59	0		28.46	91	blast;93.40
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_355-202_vRhyme_bin_39	24955	30955	Medium-quality	No	35	9	52.7	0		49.6	90.4	blast;92.90 iPHoP-RF;69.50
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_355-202_vRhyme_bin_40	64541	73541	High-quality	No	90	34	100	0		62.99	91.6	blast;93.90
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_355-202_vRhyme_bin_41	15254	21254	Low-quality	No	19	10	36.19	0		39.95	91.2	blast;93.60 iPHoP-RF;56.20
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_355-202_vRhyme_bin_43	10659	13659	Low-quality	No	15	7	23.25	0		48.87	91.1	blast;93.50 iPHoP-RF;79.50
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_355-202_vRhyme_bin_50	18359	19859	Low-quality	No	17	9	34.57	0		40.42	90.7	blast;93.10 iPHoP-RF;78.70
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	Brothers_UC_S010_NODE_3_length_117511_cov_3.387012_fragment_1	38239	38239	High-quality	No	53	24	96.54	0		31.08	91.6	blast;93.90 iPHoP-RF;92.10
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	ELSC_Mariner_M17_NODE_620_length_37589_cov_6.832791	37589	37589	High-quality	No	54	24	94.93	0		33.63	91.1	blast;93.50 iPHoP-RF;85.70
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	ELSC_Mariner_M17_NODE_252_length_53875_cov_14.511033	53875	53875	Medium-quality	Yes	64	17	80.4	12.35		46.14	91.1	blast;93.50
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	EPR_4281-140_scaffold_6364_c1	6435	6435	Low-quality	No	9	6	11.08	0		62.89	90.7	blast;93.10 iPHoP-RF;91.80
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	EPR_4281-140_scaffold_1558_c1_fragment_1	11258	11258	Low-quality	No	16	9	19.72	0		58.75	92.6	iPHoP-RF;94.70 blast;93.70
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	EPR_4281-140_scaffold_301_c1	37509	37509	High-quality	No	57	17	90.47	0		13.77	91.1	blast;93.50 iPHoP-RF;92.10
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_354-166_scaffold_8438_c1	8319	8319	Low-quality	No	7	4	14.68	0		57.09	91.1	blast;93.50 iPHoP-RF;77.30
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_354-166_scaffold_2105_c1_fragment_1	9110	9110	Low-quality	No	12	1	15.41	0		28.43	91.1	blast;93.50
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinosulfonomonas	MAR_Rainbow_355-202_scaffold_8481_c1	6240	6240	Low-quality	No	9	2	9.9	0		41.24	91.5	blast;93.80 iPHoP-RF;78.70
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077	Brothers_NWCB_S012_vRhyme_bin_179	17802	19302	Low-quality	No	26	15	49.32	0		16.27	92.6	blast;94.70 iPHoP-RF;77.30
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077	Brothers_NWCB_S012_vRhyme_bin_190	22083	26583	Low-quality	No	48	6	33.73	0		4.69	90.9	blast;93.30 iPHoP-RF;69.30
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077	Brothers_NWCB_S012_vRhyme_bin_48	14015	18515	Low-quality	No	21	2	37.48	0		7.55	90.9	blast;93.30
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077	Brothers_UC_S010_vRhyme_bin_1	305470	347470	High-quality	No	433	69	91.87	0		28.74	91.6	blast;93.90 iPHoP-RF;78.00
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077	Brothers_UC_S147_vRhyme_bin_86	5399	6899	Low-quality	No	9	4	4.49	0		28.23	91.2	blast;93.60 iPHoP-RF;72.60
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077	ELSC_Bowl_M1_vRhyme_bin_88	15546	17046	Low-quality	No	20	3	43.67	0		22.64	91.1	blast;93.50 iPHoP-RF;69.30
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077	ELSC_Bowl_M2_vRhyme_bin_176	17519	22019	Medium-quality	No	29	5	57.09	0		14.28	91.6	blast;93.90
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077	EPR_4281-140_vRhyme_bin_20	10086	13086	Low-quality	No	20	4	15.9	0		8.35	91.2	blast;93.60 iPHoP-RF;60.60
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077	MAR_Rainbow_354-166_vRhyme_bin_5	143508	166008	High-quality	No	188	54	99.47	0		22.7	90.2	blast;92.70 iPHoP-RF;68.90
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077	MAR_Rainbow_354-166_vRhyme_bin_7	27056	30056	Medium-quality	No	28	13	62.86	0		13.25	91.6	blast;93.90 iPHoP-RF;80.80
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077	MAR_Rainbow_354-166_vRhyme_bin_9	37798	39298	Medium-quality	No	49	14	56.61	0		14.26	91.1	blast;93.50 iPHoP-RF;76.80
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077	MAR_Rainbow_354-166_scaffold_28_c2_fragment_1	15691	15691	Low-quality	Yes	20	13	31.83	7.87		43.23	91.4	blast;93.70 iPHoP-RF;77.80
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Cocleimonas	Brothers_Diffuse_S015_vRhyme_bin_41	41695	43195	Medium-quality	No	54	13	63.92	0		10.91	95.9	iPHoP-RF;97.10
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Cocleimonas	Brothers_UC_S011_vRhyme_bin_11	12529	17029	Low-quality	Yes	16	3	45.11	12.83		4.37	90.2	blast;92.70 iPHoP-RF;59.00
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Cocleimonas	ELSC_Tui_Malila_132-544_vRhyme_bin_28	37874	39374	High-quality	No	38	17	90.87	0		13.54	92.6	iPHoP-RF;94.70 CRISPR;81.80
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Cocleimonas	MAR_Rainbow_355-202_vRhyme_bin_9	40072	44572	Medium-quality	No	56	13	61.36	0		9.84	91.4	iPHoP-RF;93.70 CRISPR;87.80
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	Brothers_NWCA_S144_vRhyme_bin_62	11122	15622	Low-quality	No	20	8	39.13	0		6.81	90.3	blast;92.80 iPHoP-RF;63.00
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	Brothers_NWCA_S144_vRhyme_bin_91	5676	7176	Low-quality	No	12	3	13.14	0		12.04	90.9	blast;93.30
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	Brothers_NWCB_S012_vRhyme_bin_70	68722	85222	High-quality	No	100	47	98.03	0		37.9	98.5	CRISPR;98.90 iPHoP-RF;73.00 blast;54.90
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	Brothers_NWCB_S141_vRhyme_bin_1	45540	54540	High-quality	No	59	14	100	0		8.84	90.2	blast;92.70 iPHoP-RF;81.90 CRISPR;73.90
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	Brothers_NWCB_S141_vRhyme_bin_4	34452	38952	Medium-quality	No	45	14	58.7	0		8.88	91.2	blast;93.60
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	Brothers_NWCB_S141_vRhyme_bin_6	38496	47496	Medium-quality	No	69	19	87.63	0		19.55	90.1	blast;92.60 iPHoP-RF;76.60
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	Brothers_NWCB_S141_vRhyme_bin_8	89667	104667	High-quality	No	136	48	100	0	contig >1.5x longer than expected genome length	37.87	97.3	CRISPR;98.10 blast;91.00 iPHoP-RF;83.30
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	ELSC_Bowl_M2_vRhyme_bin_238	9256	12256	Low-quality	No	15	4	20.78	0		12.11	90.8	blast;93.20 iPHoP-RF;67.00
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	ELSC_Mariner_M10_vRhyme_bin_116	5396	6896	Low-quality	No	8	1	11.28	0		11.96	91.5	blast;93.80 iPHoP-RF;67.50
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	ELSC_Mariner_M17_vRhyme_bin_125	13809	18309	Low-quality	No	25	12	45.95	0		22.33	91.5	blast;93.80 iPHoP-RF;93.70 CRISPR;86.00
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	ELSC_Mariner_M17_vRhyme_bin_126	18009	21009	Low-quality	No	17	9	41.88	0		6.75	90.3	blast;92.80 iPHoP-RF;65.60
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	ELSC_Mariner_M17_vRhyme_bin_135	11572	13072	Low-quality	No	16	3	23.18	0		17.67	91.5	blast;93.80 iPHoP-RF;74.10
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	ELSC_Mariner_M17_vRhyme_bin_197	36383	42383	High-quality	No	62	18	100	0		30.62	91.6	blast;93.90
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	ELSC_Tui_Malila_134-614_vRhyme_bin_16	75364	93364	High-quality	No	107	44	97.38	0		26.82	93.8	blast;95.60 iPHoP-RF;71.90
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	ELSC_Tui_Malila_T2_vRhyme_bin_174	5037	6537	Low-quality	No	9	2	3.94	0		10.62	95.2	blast;96.60 iPHoP-RF;62.70
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	ELSC_Vai_Lili_V2_vRhyme_bin_8	8267	11267	Low-quality	No	17	3	10.26	0		3.87	95.6	blast;96.90
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	MAR_Lucky_356-308_vRhyme_bin_42	11703	14703	Low-quality	No	19	6	37.36	0		14.62	90.3	blast;92.80 iPHoP-RF;52.00
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	MAR_Lucky_356-308_vRhyme_bin_8	7307	10307	Low-quality	No	13	8	22.97	0		16.12	90.1	blast;92.60 iPHoP-RF;55.40
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	MAR_Rainbow_354-166_vRhyme_bin_119	35878	37378	Medium-quality	No	61	22	81.2	0		24.3	97.8	CRISPR;98.40 iPHoP-RF;64.30
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	Brothers_NWCB_S012_NODE_4555_length_9994_cov_2.315699	9994	9994	Low-quality	No	13	6	17.78	0		25.22	90.3	iPHoP-RF;92.80 blast;92.10
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	Brothers_NWCB_S140_NODE_32_length_64234_cov_5.235731	64234	64234	High-quality	No	69	11	100	0		4.66	91.6	blast;93.90
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	Brothers_NWCB_S141_NODE_7275_length_9612_cov_9.842066_fragment_1	5741	5741	Low-quality	No	8	4	12.83	0		30.86	90.9	blast;93.30
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	ELSC_Mariner_M17_NODE_21606_length_5306_cov_2.823325	5306	5306	Low-quality	No	4	2	9.31	0		25.1	90.8	blast;93.20 iPHoP-RF;72.20
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	ELSC_Mariner_M17_NODE_571_length_38780_cov_6.101700	38780	38780	High-quality	No	59	18	100	0		6.2	90.9	CRISPR;93.30
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	ELSC_Tui_Malila_T2_NODE_16404_length_7392_cov_1.564625	7392	7392	Low-quality	No	10	3	10.34	0		9.63	91.7	blast;94.00 iPHoP-RF;62.70
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter	MAR_Rainbow_354-166_scaffold_1076_c1	34447	34447	High-quality	No	44	11	93.73	0		7.03	97.3	CRISPR;98.10 iPHoP-RF;63.30
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Marinithermaceae;g__	Brothers_NWCA_S143_vRhyme_bin_50	20529	22029	High-quality	No	38	2	100	0		9.19	95.7	CRISPR;97.00 blast;92.70 iPHoP-RF;70.40
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Marinithermaceae;g__	Brothers_NWCA_S143_vRhyme_bin_53	79747	85747	Low-quality	No	92	2	31.51	0		5.4	96.4	CRISPR;97.50 blast;90.90 iPHoP-RF;80.80
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Marinithermaceae;g__	Brothers_NWCA_S143_vRhyme_bin_69	37796	39296	Medium-quality	No	58	15	63.27	0		9.19	91.2	blast;93.60 iPHoP-RF;65.10
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Marinithermaceae;g__	Brothers_NWCB_S012_vRhyme_bin_143	31828	33328	Low-quality	No	48	4	37.14	0	low-confidence DTR	4.17	91.6	blast;93.90 CRISPR;84.20
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Marinithermaceae;g__	Brothers_NWCB_S141_vRhyme_bin_151	11979	13479	Low-quality	No	30	1	16.48	0		4.7	91.4	blast;93.70 iPHoP-RF;57.30
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Marinithermaceae;g__	Brothers_NWCB_S141_vRhyme_bin_174	48218	51218	Medium-quality	No	79	16	81.42	0		11.22	98.4	CRISPR;98.80 iPHoP-RF;60.30
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Marinithermaceae;g__	ELSC_Abe_A1_vRhyme_bin_114	19065	26565	Low-quality	No	40	7	41.88	0		4.78	91.6	CRISPR;93.90 iPHoP-RF;77.80
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Marinithermaceae;g__	ELSC_Mariner_M10_vRhyme_bin_70	29149	30649	High-quality	No	53	2	100	0	contig >1.5x longer than expected genome length	11.99	91.5	blast;93.80 iPHoP-RF;52.80
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Marinithermaceae;g__	ELSC_Tui_Malila_T11_vRhyme_bin_81	29066	30566	Medium-quality	No	40	7	58.01	0		8.61	91.1	blast;93.50
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Marinithermaceae;g__	EPR_PIR-30_vRhyme_bin_41	6587	8087	Low-quality	No	12	2	44.56	0		21.96	91.2	blast;93.60 iPHoP-RF;65.30
